name,description,category,latitude,longitude,address,opening_hours,contact_phone,contact_email,website,image,is_active,created_at,updated_at
Lake Nakuru National Park,"Famed for its flamingos, rhinos, and diverse wildlife.",National Park,-0.40325924,36.09613496,,9:00 AM - 5:00 PM,,,,,True,,
Menengai Crater,"One of the largest volcanic craters globally, offering panoramic views.",Viewpoint,-0.223433814,36.09549526,,9:00 AM - 5:00 PM,,,,,True,,
Hyrax Hill Prehistoric Site,An archaeological site showcasing early human settlements.,Museum,-0.28123318,36.10473476,,9:00 AM - 5:00 PM,,,,,True,,
Lord Egerton Castle,A historic castle with unique architecture and history.,Museum,-0.274638726,35.97213372,,9:00 AM - 5:00 PM,,,,,True,,
Lake Naivasha,A freshwater lake popular for boat rides and bird watching.,Lake,-0.745886825,36.3223929,,9:00 AM - 5:00 PM,,,,,True,,
Hell's Gate National Park,Hell's Gate National Park,National Park,-0.716941784,36.43105192,,9:00 AM - 5:00 PM,,,,,True,,
Crescent Island Game Sanctuary,A private sanctuary offering walking safaris.,Wildlife Conservancy,-0.773989859,36.40395939,,9:00 AM - 5:00 PM,,,,,True,,
Mount Longonot National Park,A dormant volcano offering hiking opportunities.,National Park,-0.9158,36.44628702,,9:00 AM - 5:00 PM,,,,,True,,
Lake Elementaita,"A UNESCO World Heritage Site, ideal for bird watching.",Lake,-0.441103369,36.24176334,,9:00 AM - 5:00 PM,,,,,True,,
Olkaria Geothermal Spa,Hot spa pools amidst geothermal activity.,Geothermal Site,-0.860900903,36.29482167,,9:00 AM - 5:00 PM,,,,,True,,
Kariandusi Prehistoric Site,An important archaeological site with ancient tools.,Prehistoric Site,-0.451510002,36.2845125,,9:00 AM - 5:00 PM,,,,,True,,
Crater Lake Game Sanctuary,A scenic sanctuary with a volcanic crater lake.,Wildlife Conservancy,-0.773146847,36.25820055,,9:00 AM - 5:00 PM,,,,,True,,
Makalia Waterfalls,A picturesque waterfall within Lake Nakuru National Park.,Nature Reserve,-0.491895737,36.08090849,,9:00 AM - 5:00 PM,,,,,True,,
Ol Doinyo Eburru,A volcanic mountain offering hiking trails and geothermal features.,Viewpoint,-0.647429872,36.18995087,,9:00 AM - 5:00 PM,,,,,True,,
Lake Oloiden,A serene lake known for its hot springs and birdlife.,Lake,-0.812671847,36.2791271,,9:00 AM - 5:00 PM,,,,,True,,
Hippo Point Wildlife Conservancy,A conservation area ideal for wildlife viewing.,Wildlife Conservancy,-0.799490121,36.30676597,,9:00 AM - 5:00 PM,,,,,True,,
Elsamere Nature Reserve,"Former home of Joy Adamson, now a conservation center.",Nature Reserve,-0.820899494,36.31049039,,9:00 AM - 5:00 PM,,,,,True,,
Kigio Wildlife Conservancy,A community-owned conservancy supporting eco-tourism.,Wildlife Conservancy,-0.567112179,36.39407167,,9:00 AM - 5:00 PM,,,,,True,,
Oserengoni Wildlife Sanctuary,A private sanctuary focusing on conservation and tourism.,Wildlife Conservancy,-0.830670307,36.24700324,,9:00 AM - 5:00 PM,,,,,True,,
Dodo's Tower,A unique structure offering panoramic views of the surrounding area.,Wildlife Conservancy,-0.804920261,36.29048252,,9:00 AM - 5:00 PM,,,,,True,,
