attraction_site,year,visitor_count
Lake Nakuru National Park,2020,50000
Lake Nakuru National Park,2021,75000
Lake Nakuru National Park,2022,150000
Lake Nakuru National Park,2023,200000
Menengai Crater,2020,12000
Menengai Crater,2021,18000
Menengai Crater,2022,35000
Menengai Crater,2023,50000
Hyrax Hill Prehistoric Site,2020,2500
Hyrax Hill Prehistoric Site,2021,5000
Hyrax Hill Prehistoric Site,2022,8000
Hyrax Hill Prehistoric Site,2023,10000
Lord Egerton Castle,2020,3500
Lord Egerton Castle,2021,6000
Lord Egerton Castle,2022,12000
Lord Egerton Castle,2023,15000
Lake Naivasha,2020,60000
Lake Naivasha,2021,100000
Lake Naivasha,2022,200000
Lake Naivasha,2023,300000
Hell's Gate National Park,2020,20000
Hell's Gate National Park,2021,35000
Hell's Gate National Park,2022,60000
Hell's Gate National Park,2023,80000
Mount Longonot National Park,2020,10000
Mount Longonot National Park,2021,20000
Mount Longonot National Park,2022,35000
Mount Longonot National Park,2023,40000
Olkaria Geothermal Spa,2020,5000
Olkaria Geothermal Spa,2021,8000
Olkaria Geothermal Spa,2022,15000
Olkaria Geothermal Spa,2023,25000
Kariandusi Prehistoric Site,2020,1000
Kariandusi Prehistoric Site,2021,2500
Kariandusi Prehistoric Site,2022,4000
Kariandusi Prehistoric Site,2023,5000
Lake Elementaita,2020,6000
Lake Elementaita,2021,10000
Lake Elementaita,2022,20000
Lake Elementaita,2023,30000
Crescent Island Game Sanctuary,2020,4000
Crescent Island Game Sanctuary,2021,8000
Crescent Island Game Sanctuary,2022,15000
Crescent Island Game Sanctuary,2023,20000
Crater Lake Game Sanctuary,2020,3500
Crater Lake Game Sanctuary,2021,7000
Crater Lake Game Sanctuary,2022,12000
Crater Lake Game Sanctuary,2023,15000
Makalia Waterfalls,2020,2000
Makalia Waterfalls,2021,4000
Makalia Waterfalls,2022,8000
Makalia Waterfalls,2023,10000
Ol Doinyo Eburru,2020,2500
Ol Doinyo Eburru,2021,5000
Ol Doinyo Eburru,2022,10000
Ol Doinyo Eburru,2023,12000
Lake Oloiden,2020,3000
Lake Oloiden,2021,6000
Lake Oloiden,2022,12000
Lake Oloiden,2023,15000
Hippo Point Wildlife Conservancy,2020,4000
Hippo Point Wildlife Conservancy,2021,7000
Hippo Point Wildlife Conservancy,2022,13000
Hippo Point Wildlife Conservancy,2023,15000
Elsamere Nature Reserve,2020,4000
Elsamere Nature Reserve,2021,3000
Elsamere Nature Reserve,2022,5000
Elsamere Nature Reserve,2023,6000
Kigio Wildlife Conservancy,2020,2000
Kigio Wildlife Conservancy,2021,4000
Kigio Wildlife Conservancy,2022,8000
Kigio Wildlife Conservancy,2023,10000
Oserengoni Wildlife Sanctuary,2020,1500
Oserengoni Wildlife Sanctuary,2021,3000
Oserengoni Wildlife Sanctuary,2022,6000
Oserengoni Wildlife Sanctuary,2023,7000
Dodo's Tower,2020,1000
Dodo's Tower,2021,2000
Dodo's Tower,2022,3000
Dodo's Tower,2023,3500
