name,description,latitude,longitude,address,contact_phone,contact_email,website,star_rating,price_per_night,currency,total_rooms,available_rooms,amenities,check_in_time,check_out_time,image,is_active,created_at,updated_at
Sarova Lion Hill Game Lodge,Luxury lodge inside Lake Nakuru NP.,-0.3664,36.1044,,,,,5,,KES,,,,14:00,11:00,,True,,
L.Nakuru Lodge,Eco-friendly lodge,-0.3907,36.0966,,,,,3,,KES,,,,14:00,11:00,,True,,
The Cliff,Boutique camp on the edge of Lake Nakuru.,-0.3551,36.0692,,,,,4,,KES,,,,14:00,11:00,,True,,
Mbweha Camp,Rustic cottages in Congreve Conservancy.,-0.4725,36.1950,,,,,3,,KES,,,,14:00,11:00,,True,,
Hotel Waterbuck,Business hotel in Nakuru City.,-0.2858,36.0684,,,,,3,,KES,,,,14:00,11:00,,True,,
The Royal City Hotel,Budget-friendly hotel in Nakuru CBD.,-0.2922,36.0725,,,,,2,,KES,,,,14:00,11:00,,True,,
The Panari Resort,"Luxury resort near Thompson Falls, Nyahururu.",0.0401,36.3712,,,,,5,,KES,,,,14:00,11:00,,True,,
Lake Nakuru Sopa Lodge,Elevated lodge with views of Lake Nakuru.,-0.4497,36.1264,,,,,4,,KES,,,,14:00,11:00,,True,,
Lake Naivasha Serena Resort,Upscale resort on Lake Naivasha shores.,-0.8354,36.3534,,,,,5,,KES,,,,14:00,11:00,,True,,
Sopa Resort Naivasha,Lodge where wildlife roams the lawns.,-0.8197,36.4022,,,,,4,,KES,,,,14:00,11:00,,True,,
Lake Naivasha Resort,Popular resort on Moi South Lake Road.,-0.7966,36.4258,,,,,4,,KES,,,,14:00,11:00,,True,,
Crater Lake Camp,Tented camp near a volcanic crater lake.,-0.7854,36.2736,,,,,3,,KES,,,,14:00,11:00,,True,,
Pelican Lodge,Quiet lodge on Lake Elementaita.,-0.4468,36.2483,,,,,3,,KES,,,,14:00,11:00,,True,,
Lake Elementaita Serena Camp,Luxury tents in Soysambu Conservancy.,-0.4355,36.2415,,,,,5,,KES,,,,14:00,11:00,,True,,
Kigio Wildlife Camp,Eco-lodge in Gilgil/Naivasha area.,-0.5675,36.3933,,,,,3,,KES,,,,14:00,11:00,,True,,
Oserengoni Lodge,Exclusive lodge in Oserengoni Sanctuary.,-0.8315,36.2995,,,,,4,,KES,,,,14:00,11:00,,True,,
Lake Oloiden Resort,Serene campsite and lodge near Naivasha.,-0.8127,36.2791,,,,,3,,KES,,,,14:00,11:00,,True,,
