attraction_site,visitor_type,price,currency,valid_from,valid_until,is_active,created_at,updated_at
Lake Nakuru National Park,adult,1000,KES,,,True,,
Lake Nakuru National Park,child,1000,KES,,,True,,
Lake Nakuru National Park,student,,KES,,,True,,
Lake Nakuru National Park,family,,KES,,,True,,
Hell's Gate National Park,adult,800,KES,,,True,,
Hell's Gate National Park,child,800,KES,,,True,,
Hell's Gate National Park,student,,KES,,,True,,
Hell's Gate National Park,family,,KES,,,True,,
Lake Naivasha,adult,500,KES,,,True,,
Lake Naivasha,child,500,KES,,,True,,
Lake Naivasha,student,,KES,,,True,,
Lake Naivasha,family,,KES,,,True,,
Menengai Crater,adult,100,KES,,,True,,
Menengai Crater,child,100,KES,,,True,,
Menengai Crater,student,,KES,,,True,,
Menengai Crater,family,,KES,,,True,,
Lord Egerton Castle,adult,0.00,KES,,,True,,
Lord Egerton Castle,child,0.00,KES,,,True,,
Lord Egerton Castle,student,,KES,,,True,,
Lord Egerton Castle,family,,KES,,,True,,
Mount Longonot National Park,adult,0.00,KES,,,True,,
Mount Longonot National Park,child,0.00,KES,,,True,,
Mount Longonot National Park,student,,KES,,,True,,
Mount Longonot National Park,family,,KES,,,True,,
Olkaria Geothermal Spa,adult,0.00,KES,,,True,,
Olkaria Geothermal Spa,child,0.00,KES,,,True,,
Olkaria Geothermal Spa,student,,KES,,,True,,
Olkaria Geothermal Spa,family,,KES,,,True,,
Kariandusi Prehistoric Site,adult,0.00,KES,,,True,,
Kariandusi Prehistoric Site,child,0.00,KES,,,True,,
Kariandusi Prehistoric Site,student,,KES,,,True,,
Kariandusi Prehistoric Site,family,,KES,,,True,,
Lake Elementaita,adult,0.00,KES,,,True,,
Lake Elementaita,child,0.00,KES,,,True,,
Lake Elementaita,student,,KES,,,True,,
Lake Elementaita,family,,KES,,,True,,
Crescent Island Game Sanctuary,adult,0.00,KES,,,True,,
Crescent Island Game Sanctuary,child,0.00,KES,,,True,,
Crescent Island Game Sanctuary,student,,KES,,,True,,
Crescent Island Game Sanctuary,family,,KES,,,True,,
Crater Lake Game Sanctuary,adult,0.00,KES,,,True,,
Crater Lake Game Sanctuary,child,0.00,KES,,,True,,
Crater Lake Game Sanctuary,student,,KES,,,True,,
Crater Lake Game Sanctuary,family,,KES,,,True,,
Makalia Waterfalls,adult,0.00,KES,,,True,,
Makalia Waterfalls,child,0.00,KES,,,True,,
Makalia Waterfalls,student,,KES,,,True,,
Makalia Waterfalls,family,,KES,,,True,,
Ol Doinyo Eburru,adult,0.00,KES,,,True,,
Ol Doinyo Eburru,child,0.00,KES,,,True,,
Ol Doinyo Eburru,student,,KES,,,True,,
Ol Doinyo Eburru,family,,KES,,,True,,
Lake Oloiden,adult,0.00,KES,,,True,,
Lake Oloiden,child,0.00,KES,,,True,,
Lake Oloiden,student,,KES,,,True,,
Lake Oloiden,family,,KES,,,True,,
Hippo Point Wildlife Conservancy,adult,0.00,KES,,,True,,
Hippo Point Wildlife Conservancy,child,0.00,KES,,,True,,
Hippo Point Wildlife Conservancy,student,,KES,,,True,,
Hippo Point Wildlife Conservancy,family,,KES,,,True,,
Elsamere Nature Reserve,adult,0.00,KES,,,True,,
Elsamere Nature Reserve,child,0.00,KES,,,True,,
Elsamere Nature Reserve,student,,KES,,,True,,
Elsamere Nature Reserve,family,,KES,,,True,,
Kigio Wildlife Conservancy,adult,0.00,KES,,,True,,
Kigio Wildlife Conservancy,child,0.00,KES,,,True,,
Kigio Wildlife Conservancy,student,,KES,,,True,,
Kigio Wildlife Conservancy,family,,KES,,,True,,
Oserengoni Wildlife Sanctuary,adult,0.00,KES,,,True,,
Oserengoni Wildlife Sanctuary,child,0.00,KES,,,True,,
Oserengoni Wildlife Sanctuary,student,,KES,,,True,,
Oserengoni Wildlife Sanctuary,family,,KES,,,True,,
Dodo's Tower,adult,0.00,KES,,,True,,
Dodo's Tower,child,0.00,KES,,,True,,
Dodo's Tower,student,,KES,,,True,,
Dodo's Tower,family,,KES,,,True,,
Hyrax Hill Prehistoric Site,adult,,KES,,,True,,
Hyrax Hill Prehistoric Site,child,,KES,,,True,,
Hyrax Hill Prehistoric Site,student,,KES,,,True,,
Hyrax Hill Prehistoric Site,family,,KES,,,True,,
